vgg_loss,l1_d4_loss,dimred_loss,rgb_reg_loss,min_gpu_mem,max_gpu_mem,epoch,created_at
1025.4716796875,0.177891343832016,1841763.75,0.06765546649694443,3081.0,3081.0,0,2026-07-16 22:37:49.228561
889.3211059570312,0.1470692753791809,1677779.25,0.08130652457475662,3081.0,3081.0,0,2026-07-16 22:38:38.620576
886.129638671875,0.12189723551273346,1140959.5,0.07952208071947098,3083.0,3083.0,0,2026-07-16 22:39:27.104567
783.8196411132812,0.12336569279432297,1355332.25,0.07812266051769257,3081.0,3081.0,0,2026-07-16 22:40:17.536468
762.1065063476562,0.11037451028823853,1228297.75,0.0873224064707756,3084.0,3084.0,0,2026-07-16 22:41:06.384458
674.5670776367188,0.10204552859067917,1282680.375,0.06942520290613174,3084.0,3084.0,0,2026-07-16 22:41:58.060121
727.3464965820312,0.1061282604932785,1568656.5,0.09642909467220306,3118.0,3118.0,0,2026-07-16 22:42:47.571757
698.2686157226562,0.09607237577438354,1674193.625,0.07678501307964325,3118.0,3118.0,0,2026-07-16 22:43:37.945769
499.9599914550781,0.06359156966209412,1335886.125,0.05589587613940239,3117.0,3117.0,0,2026-07-16 22:44:29.161324
814.9939575195312,0.15085135400295258,2016985.875,0.08023284375667572,3118.0,3118.0,0,2026-07-16 22:45:22.779174
869.2272338867188,0.1565874218940735,2217005.0,0.07798853516578674,3119.0,3119.0,0,2026-07-16 22:46:22.987040
807.4398193359375,0.10814493894577026,2582274.25,0.11176079511642456,3118.0,3118.0,0,2026-07-16 22:47:13.622100
412.9637145996094,0.05379278585314751,1558204.5,0.07681989669799805,3118.0,3118.0,0,2026-07-16 22:48:05.329538
667.5557861328125,0.08423915505409241,2376136.0,0.08581491559743881,3118.0,3118.0,0,2026-07-16 22:48:56.554123
804.6602172851562,0.10118415951728821,2457549.0,0.10832240432500839,3118.0,3118.0,0,2026-07-16 22:49:50.720353
682.6288452148438,0.10634252429008484,1852554.625,0.06491734832525253,3119.0,3119.0,0,2026-07-16 22:50:41.511137
714.5313110351562,0.09006872028112411,3046740.5,0.11457252502441406,3118.0,3118.0,0,2026-07-16 22:51:32.773861
799.0678100585938,0.09299264848232269,2999871.0,0.08784157037734985,3118.0,3118.0,0,2026-07-16 22:52:24.308415
711.0420532226562,0.07764755189418793,2457210.0,0.08140714466571808,3009.0,3009.0,0,2026-07-16 22:53:15.499563
524.193115234375,0.05609018728137016,2935250.0,0.06802704930305481,2998.0,2998.0,0,2026-07-16 22:54:07.574555
